image_name,gpt4o_zero_shot,gpt4o_few_shot,gpt4o_cot,gpt4o_cot_reasoning,gemini_zero_shot,gemini_few_shot,gemini_cot,gemini_cot_reasoning,timestamp
who_defeated_the_evil_of_extravagance_page_11.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. الرجل يلوح بيده مبتسمًا، مما يدل على الوداع والفرح.  
٢. السياق يشير إلى سفر الأب ووداعه لأسرته.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يرفع الرجل يده مودعًا وهو يبتسم ابتسامة عريضة، ويبدو متحمسًا.  يظهر السياق أنه في المطار ويودع عائلته.,2025-05-23 18:48:45
sun_and_suns_page_10.png,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. يبدو أن الطفل جالس على السرير ويمسك بكتاب، مما يدل على حالة من التفكير أو التأمل. تعابير الوجه ولغة الجسد توحي بالترقب أو الانتظار.

٢. الشعور الأساسي الظاهر هو ترقب.",ﺓﺄﺟﺎﻔﻣ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,الطفل يجلس على سريره ويفكر، وفمه مفتوح قليلاً. عيناه مفتوحتان وينظر إلى الأمام.,2025-05-23 18:49:44
mama_the_storyteller_page_8.png,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. الفتاة تجلس على كرسي مريح في وضعية تأملية، محاطة بالزهور والقلوب، مما يدل على حالة من التفكير أو الحلم.

٢. الشعور الأساسي الظاهر هو ترقب.",ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"الفتاة تجلس على كرسي من سحاب وتنظر لأعلى بتفكير، وتحيط بها قلوب وزهور وفراشات.  يبدو أنها تتأمل في كيفية أن تصبح مشهورة مثل أمها.

ترقب",2025-05-23 18:50:52
why_did_the_electricity_escape_page_15.png,ﺓﺩﺎﻌﺳ,ﺔﻘﺛ,ﺓﺩﺎﻌﺳ,"١. يظهر الطفل مبتسمًا ويحمل جهاز التحكم عن بعد، مما يدل على شعور إيجابي وراحة في الموقف.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يظهر الطفل ابتسامة عريضة وعيناه مفتوحتان على اتساعهما وهو ينظر إلى التلفاز ويمسك بجهاز التحكم عن بعد.  يبدو أنه مستمتع بمشاهدة التلفاز.,2025-05-23 18:54:10
why_did_the_electricity_escape_page_14.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١( تعابير الوجه تظهر ابتسامة واسعة وعيون مغمضة قليلاً، مما يدل على السعادة. الشخص الآخر يبتسم وينظر للأعلى، مما يعزز الشعور الإيجابي.

٢( الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يظهر الطفلان ابتسامة عريضة مع عيون مغلقة جزئيًا، ويحمل أحدهما جهازًا صغيرًا.  يبدو أنهم يتشاركون لحظة سعيدة.,2025-05-23 18:55:35
mama_the_storyteller_page_9.png,ﻥﺰﺣ,ﻥﺰﺣ,ﻥﺰﺣ,"١. الشخص يغطي وجهه بيده، مما قد يدل على الحزن أو الخجل. الألوان الداكنة في الخلفية تضيف إلى الشعور بالكآبة.

٢. الشعور الأساسي الظاهر هو حزن.",ﻥﺰﺣ,ﻑﻮﺧ,ﻥﺰﺣ,"تغطي الفتاة وجهها بيديها، وتبدو وكأنها تنظر إلى الأسفل.  يبدو القارب وكأنه يطفو بعيدًا عنها.

حزن",2025-05-23 18:56:56
sun_and_suns_page_11.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. يظهر في الصورة طفل مبتسم ويمتطي نجمة، مما يدل على شعور بالفرح والمغامرة. الألوان الزاهية والخلفية المليئة بالنجوم تضيف إلى الإحساس بالبهجة.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يبتسم الطفل ابتسامة عريضة، وذراعاه مفتوحتان على مصراعيهما، ويبدو أنه يطير على نجمة.  السياق العام للصورة مشرق وملون، مما يعزز الشعور الإيجابي.,2025-05-23 18:58:41
who_defeated_the_evil_of_extravagance_page_10.png,ﻑﻮﺧ,ﻑﻮﺧ,ﻑﻮﺧ,"١. يظهر الطفل بتعبير وجه غاضب ولغة جسد هجومية، بينما الكائن الأصفر يبدو خائفًا ويحاول الهرب.

٢. الشعور الأساسي الظاهر هو الخوف.",ﺐﻀﻏ,ﺐﻀﻏ,ﺐﻀﻏ,"يظهر الطفل تعبيرًا غاضبًا على وجهه، مع حواجبه معقودة وفمه مفتوحًا.  كما يظهر الشخصية الأخرى وهي تهرب منه بخوف.

غضب",2025-05-23 18:59:57
kenan_and_watermelon_head_page_42.png,ﺔﻘﺛ,ﺔﻘﺛ,ﺔﻘﺛ,"١. تعابير الوجه ولغة الجسد تدل على الثقة، حيث يظهر الشخص مبتسمًا وواقفًا بثبات، ويبدو واثقًا من قدرته على تنفيذ المهمة.

٢. الشعور الأساسي الظاهر هو الثقة.",ﺐﻀﻏ,ﺐﻀﻏ,ﺓﺩﺎﻌﺳ,يظهر الطفل في الصورة الأولى ابتسامة عريضة وهو يشير بإصبعه، وفي الصورة الثانية يظهر وجهه عابسًا، وفي الصورة الثالثة يظهر وجهه مبتسمًا وهو يرفع يديه. تدل هذه التعابير على تغير مشاعره من ثقة إلى حزن ثم إلى سعادة.,2025-05-23 19:01:46
who_defeated_the_evil_of_extravagance_page_12.png,ﺓﺩﺎﻌﺳ,ﺪﻳﺎﺤﻣ,ﺓﺩﺎﻌﺳ,"١. الشخصية تبدو مسترخية ومبتسمة، جالسة على أريكة مريحة مع وسائد، وتأكل الفشار، مما يدل على الراحة والتمتع باللحظة.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يبدو الوجه مبتسمًا، ويأكل الشخصية الفشار وهو مسترخٍ على الأريكة.  يبدو المشهد مريحًا وهادئًا.,2025-05-23 19:09:40
